CJ_HeightDiff,CJ_Gracew,CJ_Fw,CJ_Sw,CJ_Dw,CJ_Frame,CJ_PosZ,CJ_PosX,,SJ_HeightDiff,SJ_Gracew,SJ_Fw,SJ_Frame,SJ_PosZ,SJ_PosX,,
-1940,11,65,67,89,289,-2004.708871,2428.23,,-1940,11,105,207,-2005.474128,2550.214167,,121.9841667
-1950,11,65,66,90,289,-2014.897121,2432.509667,,-1950,11,106,207,-2011.724128,2553.255917,,120.74625
-1960,11,65,65,91,289,-2025.856203,2436.789333,,-1960,11,107,207,-2018.807462,2556.297667,,119.5083333
-1970,11,68,67,89,291,-2035.696207,2440.488667,,-1970,11,109,207,-2035.474128,2562.381167,,121.8925
-1980,11,67,67,90,291,-2045.884457,2444.768333,,-1980,11,107,208,-2045.317128,2566.58925,,121.8209167
-1990,11,67,68,89,292,-2055.90454,2448.23,,-1990,11,108,208,-2052.817128,2569.631,,121.401
-2000,11,67,67,90,292,-2065.676123,2452.509667,,-2000,11,106,209,-2065.993462,2573.839083,,121.3294167
-2010,11,68,67,89,293,-2075.696207,2455.971333,,-2010,11,107,209,-2072.243462,2576.880833,,120.9095
-2020,11,67,67,90,293,-2085.884457,2460.251,,-2020,11,108,209,-2079.326795,2579.922583,,119.6715833
-2030,11,66,68,91,293,-2094.394873,2463.456,,-2030,11,110,209,-2095.993462,2586.006083,,122.5500833
-2040,11,66,67,92,293,-2104.874789,2467.735667,,-2040,11,111,209,-2105.576795,2589.047833,,121.3121667
-2050,11,66,68,91,294,-2114.603206,2471.197333,,-2050,11,109,210,-2113.753128,2593.255917,,122.0585833
-2060,11,66,67,92,294,-2125.083122,2475.477,,-2060,11,110,210,-2122.086462,2596.297667,,120.8206667
-2070,11,66,68,91,295,-2135.228206,2478.938667,,-2070,11,108,211,-2133.596128,2600.50575,,121.5670833
-2080,11,66,67,92,295,-2145.708122,2483.218333,,-2080,11,109,211,-2140.679462,2603.5475,,120.3291667
